"dyad";"id";"obsno";"sent";"start";"end";"PA1_time";"PA2_time";"PA3_time";"NA1_time";"NA2_time";"NA3_time";"contact_time";"location_time"
1;1;62;2018-10-29 11:00:11;2018-10-29 11:00:18;2018-10-29 11:01:40;2018-10-29 11:00:37;2018-10-29 11:00:48;2018-10-29 11:00:52;2018-10-29 11:01:02;2018-10-29 11:01:17;2018-10-29 11:01:26;2018-10-29 11:01:41;2018-10-29 11:01:40
1;1;63;2018-10-29 12:00:25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;64;2018-10-29 13:00:26;2018-10-29 13:00:54;2018-10-29 13:02:47;2018-10-29 13:01:17;2018-10-29 13:01:32;2018-10-29 13:01:45;2018-10-29 13:01:58;2018-10-29 13:02:12;2018-10-29 13:02:34;2018-10-29 13:02:38;2018-10-29 13:02:47
1;1;65;2018-10-29 13:59:59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;1;66;2018-10-30 10:00:32;2018-10-30 10:00:40;2018-10-30 10:01:51;2018-10-30 10:00:50;2018-10-30 10:01:01;2018-10-30 10:01:05;2018-10-30 10:01:21;2018-10-30 10:01:25;2018-10-30 10:01:43;2018-10-30 10:01:45;2018-10-30 10:01:51
1;1;67;2018-10-30 11:00:25;2018-10-30 11:00:35;2018-10-30 11:03:19;2018-10-30 11:01:00;2018-10-30 11:01:16;2018-10-30 11:01:40;2018-10-30 11:02:18;2018-10-30 11:02:32;2018-10-30 11:02:58;2018-10-30 11:03:14;2018-10-30 11:03:19
1;1;68;2018-10-30 12:00:21;2018-10-30 12:01:06;2018-10-30 12:01:31;2018-10-30 12:01:04;2018-10-30 12:01:08;2018-10-30 12:01:14;2018-10-30 12:01:18;2018-10-30 12:01:26;2018-10-30 12:01:27;2018-10-30 12:01:32;2018-10-30 12:01:31
1;1;69;2018-10-30 13:00:15;2018-10-30 13:00:34;2018-10-30 13:02:46;2018-10-30 13:00:47;2018-10-30 13:01:08;2018-10-30 13:01:25;2018-10-30 13:01:54;2018-10-30 13:02:07;2018-10-30 13:02:26;2018-10-30 13:02:49;2018-10-30 13:02:46
1;1;70;2018-10-30 14:00:24;2018-10-30 14:00:42;2018-10-30 14:02:29;2018-10-30 14:00:51;2018-10-30 14:01:07;2018-10-30 14:01:27;2018-10-30 14:01:40;2018-10-30 14:01:58;2018-10-30 14:02:09;2018-10-30 14:02:32;2018-10-30 14:02:29
1;2;1;2018-10-17 10:00:15;2018-10-17 10:00:21;2018-10-17 10:04:32;2018-10-17 10:01:01;2018-10-17 10:01:28;2018-10-17 10:02:13;2018-10-17 10:02:46;2018-10-17 10:03:14;2018-10-17 10:04:00;2018-10-17 10:04:32;2018-10-17 10:04:32
1;2;2;2018-10-17 10:59:53;2018-10-17 11:00:22;2018-10-17 11:03:08;2018-10-17 11:00:43;2018-10-17 11:01:12;2018-10-17 11:01:27;2018-10-17 11:01:55;2018-10-17 11:02:15;2018-10-17 11:02:38;2018-10-17 11:03:09;2018-10-17 11:03:08
1;2;3;2018-10-17 12:00:16;2018-10-17 12:00:37;2018-10-17 12:02:42;2018-10-17 12:00:55;2018-10-17 12:00:59;2018-10-17 12:01:22;2018-10-17 12:01:39;2018-10-17 12:02:01;2018-10-17 12:02:18;2018-10-17 12:02:43;2018-10-17 12:02:42
1;2;4;2018-10-17 13:00:05;2018-10-17 13:00:15;2018-10-17 13:03:07;2018-10-17 13:00:35;2018-10-17 13:01:00;2018-10-17 13:01:21;2018-10-17 13:01:46;2018-10-17 13:02:15;2018-10-17 13:02:50;2018-10-17 13:03:04;2018-10-17 13:03:07
1;2;5;2018-10-17 14:00:01;2018-10-17 14:00:23;2018-10-17 14:03:12;2018-10-17 14:00:48;2018-10-17 14:01:08;2018-10-17 14:01:35;2018-10-17 14:01:55;2018-10-17 14:02:26;2018-10-17 14:02:40;2018-10-17 14:03:12;2018-10-17 14:03:12
1;2;6;2018-10-18 10:00:09;2018-10-18 10:00:44;2018-10-18 10:03:49;2018-10-18 10:01:06;2018-10-18 10:01:42;2018-10-18 10:02:11;2018-10-18 10:02:32;2018-10-18 10:02:56;2018-10-18 10:03:12;2018-10-18 10:03:41;2018-10-18 10:03:49
1;2;7;2018-10-18 10:59:48;2018-10-18 10:59:55;2018-10-18 11:02:03;2018-10-18 11:00:21;2018-10-18 11:00:41;2018-10-18 11:00:44;2018-10-18 11:01:02;2018-10-18 11:01:25;2018-10-18 11:01:49;2018-10-18 11:02:02;2018-10-18 11:02:03
1;2;8;2018-10-18 12:00:04;2018-10-18 12:00:11;2018-10-18 12:01:56;2018-10-18 12:00:25;2018-10-18 12:00:50;2018-10-18 12:01:01;2018-10-18 12:01:08;2018-10-18 12:01:27;2018-10-18 12:01:41;2018-10-18 12:02:03;2018-10-18 12:01:56
1;2;9;2018-10-18 13:00:14;2018-10-18 13:00:22;2018-10-18 13:01:18;2018-10-18 13:00:26;2018-10-18 13:00:36;2018-10-18 13:00:39;2018-10-18 13:00:54;2018-10-18 13:00:56;2018-10-18 13:01:09;2018-10-18 13:01:16;2018-10-18 13:01:18
1;2;10;2018-10-18 14:00:18;2018-10-18 14:00:25;2018-10-18 14:02:50;2018-10-18 14:01:02;2018-10-18 14:01:04;2018-10-18 14:01:14;2018-10-18 14:01:46;2018-10-18 14:02:06;2018-10-18 14:02:25;2018-10-18 14:02:47;2018-10-18 14:02:50
1;2;11;2018-10-19 10:00:14;2018-10-19 10:00:30;2018-10-19 10:02:50;2018-10-19 10:00:44;2018-10-19 10:01:04;2018-10-19 10:01:23;2018-10-19 10:01:54;2018-10-19 10:02:06;2018-10-19 10:02:34;2018-10-19 10:02:45;2018-10-19 10:02:50
1;2;12;2018-10-19 11:00:22;2018-10-19 11:00:29;2018-10-19 11:02:11;2018-10-19 11:00:40;2018-10-19 11:01:03;2018-10-19 11:01:10;2018-10-19 11:01:28;2018-10-19 11:01:41;2018-10-19 11:02:04;2018-10-19 11:02:15;2018-10-19 11:02:11
1;2;13;2018-10-19 12:00:07;2018-10-19 12:00:38;2018-10-19 12:02:17;2018-10-19 12:01:00;2018-10-19 12:01:09;2018-10-19 12:01:24;2018-10-19 12:01:38;2018-10-19 12:01:47;2018-10-19 12:02:03;2018-10-19 12:02:13;2018-10-19 12:02:17
1;2;14;2018-10-19 13:00:05;2018-10-19 13:00:39;2018-10-19 13:01:41;2018-10-19 13:00:46;2018-10-19 13:00:51;2018-10-19 13:01:00;2018-10-19 13:01:14;2018-10-19 13:01:21;2018-10-19 13:01:26;2018-10-19 13:01:43;2018-10-19 13:01:41
1;2;15;2018-10-19 14:00:10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;16;2018-10-20 09:59:59;2018-10-20 10:00:22;2018-10-20 10:02:19;2018-10-20 10:00:34;2018-10-20 10:00:58;2018-10-20 10:01:14;2018-10-20 10:01:24;2018-10-20 10:01:47;2018-10-20 10:01:59;2018-10-20 10:02:21;2018-10-20 10:02:19
1;2;17;2018-10-20 11:00:21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;18;2018-10-20 12:00:12;2018-10-20 12:00:26;2018-10-20 12:02:08;2018-10-20 12:00:39;2018-10-20 12:00:52;2018-10-20 12:01:08;2018-10-20 12:01:26;2018-10-20 12:01:45;2018-10-20 12:01:55;2018-10-20 12:02:08;2018-10-20 12:02:08
1;2;19;2018-10-20 13:00:06;2018-10-20 13:00:14;2018-10-20 13:01:12;2018-10-20 13:00:19;2018-10-20 13:00:32;2018-10-20 13:00:33;2018-10-20 13:00:39;2018-10-20 13:00:49;2018-10-20 13:01:02;2018-10-20 13:01:13;2018-10-20 13:01:12
1;2;20;2018-10-20 14:00:01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;21;2018-10-21 09:59:59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;22;2018-10-21 11:00:16;2018-10-21 11:00:35;2018-10-21 11:01:26;2018-10-21 11:00:39;2018-10-21 11:00:44;2018-10-21 11:00:48;2018-10-21 11:01:11;2018-10-21 11:01:13;2018-10-21 11:01:16;2018-10-21 11:01:25;2018-10-21 11:01:26
1;2;23;2018-10-21 12:00:03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;24;2018-10-21 13:00:02;2018-10-21 13:00:19;2018-10-21 13:01:47;2018-10-21 13:00:31;2018-10-21 13:00:46;2018-10-21 13:00:53;2018-10-21 13:01:06;2018-10-21 13:01:18;2018-10-21 13:01:46;2018-10-21 13:01:49;2018-10-21 13:01:47
1;2;25;2018-10-21 14:00:10;2018-10-21 14:00:23;2018-10-21 14:02:48;2018-10-21 14:00:38;2018-10-21 14:01:05;2018-10-21 14:01:15;2018-10-21 14:01:54;2018-10-21 14:02:05;2018-10-21 14:02:27;2018-10-21 14:02:45;2018-10-21 14:02:48
1;2;26;2018-10-22 10:00:34;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;27;2018-10-22 11:00:10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;28;2018-10-22 11:59:59;2018-10-22 12:00:12;2018-10-22 12:01:40;2018-10-22 12:00:25;2018-10-22 12:00:39;2018-10-22 12:00:45;2018-10-22 12:01:06;2018-10-22 12:01:13;2018-10-22 12:01:32;2018-10-22 12:01:40;2018-10-22 12:01:40
1;2;29;2018-10-22 13:00:08;2018-10-22 13:00:17;2018-10-22 13:00:43;2018-10-22 13:00:23;2018-10-22 13:00:27;2018-10-22 13:00:33;2018-10-22 13:00:34;2018-10-22 13:00:35;2018-10-22 13:00:39;2018-10-22 13:00:41;2018-10-22 13:00:43
1;2;30;2018-10-22 13:59:52;2018-10-22 14:00:27;2018-10-22 14:02:10;2018-10-22 14:00:43;2018-10-22 14:01:07;2018-10-22 14:01:13;2018-10-22 14:01:27;2018-10-22 14:01:40;2018-10-22 14:01:55;2018-10-22 14:02:06;2018-10-22 14:02:10
1;2;31;2018-10-23 10:00:05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;32;2018-10-23 11:00:07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;33;2018-10-23 12:00:14;2018-10-23 12:00:28;2018-10-23 12:02:18;2018-10-23 12:00:34;2018-10-23 12:01:02;2018-10-23 12:01:18;2018-10-23 12:01:24;2018-10-23 12:01:42;2018-10-23 12:02:06;2018-10-23 12:02:16;2018-10-23 12:02:18
1;2;34;2018-10-23 13:00:07;2018-10-23 13:00:33;2018-10-23 13:01:51;2018-10-23 13:00:45;2018-10-23 13:00:58;2018-10-23 13:01:05;2018-10-23 13:01:12;2018-10-23 13:01:26;2018-10-23 13:01:43;2018-10-23 13:02:00;2018-10-23 13:01:51
1;2;35;2018-10-23 14:00:07;2018-10-23 14:00:33;2018-10-23 14:02:47;2018-10-23 14:00:43;2018-10-23 14:01:04;2018-10-23 14:01:38;2018-10-23 14:01:46;2018-10-23 14:02:06;2018-10-23 14:02:29;2018-10-23 14:02:38;2018-10-23 14:02:47
1;2;36;2018-10-24 10:00:08;2018-10-24 10:00:18;2018-10-24 10:02:01;2018-10-24 10:00:42;2018-10-24 10:00:47;2018-10-24 10:01:11;2018-10-24 10:01:17;2018-10-24 10:01:37;2018-10-24 10:01:46;2018-10-24 10:02:00;2018-10-24 10:02:01
1;2;37;2018-10-24 11:00:26;2018-10-24 11:00:42;2018-10-24 11:02:43;2018-10-24 11:01:00;2018-10-24 11:01:21;2018-10-24 11:01:33;2018-10-24 11:01:55;2018-10-24 11:02:05;2018-10-24 11:02:17;2018-10-24 11:02:40;2018-10-24 11:02:43
1;2;38;2018-10-24 12:00:10;2018-10-24 12:00:30;2018-10-24 12:03:39;2018-10-24 12:01:02;2018-10-24 12:01:28;2018-10-24 12:01:54;2018-10-24 12:02:17;2018-10-24 12:02:33;2018-10-24 12:03:18;2018-10-24 12:03:36;2018-10-24 12:03:39
1;2;39;2018-10-24 13:00:11;2018-10-24 13:00:15;2018-10-24 13:01:15;2018-10-24 13:00:31;2018-10-24 13:00:35;2018-10-24 13:00:41;2018-10-24 13:00:51;2018-10-24 13:00:56;2018-10-24 13:01:02;2018-10-24 13:01:06;2018-10-24 13:01:15
1;2;40;2018-10-24 14:00:25;2018-10-24 14:00:43;2018-10-24 14:02:19;2018-10-24 14:00:59;2018-10-24 14:01:09;2018-10-24 14:01:26;2018-10-24 14:01:38;2018-10-24 14:01:48;2018-10-24 14:02:08;2018-10-24 14:02:18;2018-10-24 14:02:19
1;2;41;2018-10-25 10:00:14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2;42;2018-10-25 11:00:02;2018-10-25 11:00:32;2018-10-25 11:02:00;2018-10-25 11:00:50;2018-10-25 11:00:52;2018-10-25 11:01:21;2018-10-25 11:01:21;2018-10-25 11:01:30;2018-10-25 11:01:45;2018-10-25 11:01:54;2018-10-25 11:02:00
1;2;43;2018-10-25 11:59:57;2018-10-25 12:00:21;2018-10-25 12:02:00;2018-10-25 12:00:42;2018-10-25 12:00:50;2018-10-25 12:00:58;2018-10-25 12:01:13;2018-10-25 12:01:28;2018-10-25 12:01:41;2018-10-25 12:01:57;2018-10-25 12:02:00
1;2;44;2018-10-25 13:00:29;2018-10-25 13:00:35;2018-10-25 13:01:52;2018-10-25 13:00:51;2018-10-25 13:00:51;2018-10-25 13:01:00;2018-10-25 13:01:21;2018-10-25 13:01:32;2018-10-25 13:01:48;2018-10-25 13:01:49;2018-10-25 13:01:52
1;2;45;2018-10-25 14:00:06;2018-10-25 14:00:44;2018-10-25 14:01:56;2018-10-25 14:00:57;2018-10-25 14:01:02;2018-10-25 14:01:16;2018-10-25 14:01:21;2018-10-25 14:01:38;2018-10-25 14:01:49;2018-10-25 14:01:59;2018-10-25 14:01:56
1;2;46;2018-10-26 10:00:49;2018-10-26 10:01:02;2018-10-26 10:02:11;2018-10-26 10:01:12;2018-10-26 10:01:19;2018-10-26 10:01:44;2018-10-26 10:01:47;2018-10-26 10:02:02;2018-10-26 10:02:12;2018-10-26 10:02:13;2018-10-26 10:02:11
1;2;47;2018-10-26 11:00:05;2018-10-26 11:00:25;2018-10-26 11:01:42;2018-10-26 11:00:43;2018-10-26 11:00:48;2018-10-26 11:01:02;2018-10-26 11:01:15;2018-10-26 11:01:19;2018-10-26 11:01:26;2018-10-26 11:01:41;2018-10-26 11:01:42
1;2;48;2018-10-26 12:00:00;2018-10-26 12:00:10;2018-10-26 12:00:14;2018-10-26 12:00:06;2018-10-26 12:00:06;2018-10-26 12:00:08;2018-10-26 12:00:09;2018-10-26 12:00:10;2018-10-26 12:00:12;2018-10-26 12:00:14;2018-10-26 12:00:14
1;2;49;2018-10-26 12:59:51;2018-10-26 13:00:00;2018-10-26 13:01:20;2018-10-26 13:00:12;2018-10-26 13:00:12;2018-10-26 13:00:32;2018-10-26 13:00:41;2018-10-26 13:01:01;2018-10-26 13:01:01;2018-10-26 13:01:15;2018-10-26 13:01:20
